card_company,trans_freq,persons,amount,age,education,class
Visa,vhigh,1,High,Youngs,illiterate,It seems to be very dangerous
Visa,vhigh,1,High,Youngs,metric,It seems to be very dangerous
Visa,vhigh,1,High,Youngs,grad,It seems to be very dangerous
Visa,vhigh,1,High,seniors,illiterate,It seems to be very dangerous
Visa,vhigh,1,High,seniors,metric,It seems to be very dangerous
Visa,vhigh,1,High,seniors,grad,It seems to be very dangerous
Visa,vhigh,1,High,adults,illiterate,It seems to be very dangerous
Visa,vhigh,1,High,adults,metric,It seems to be very dangerous
Visa,vhigh,1,High,adults,grad,It seems to be very dangerous
Visa,vhigh,1,Moderate,Youngs,illiterate,It seems to be very dangerous
Visa,vhigh,1,Moderate,Youngs,metric,It seems to be very dangerous
Visa,vhigh,1,Moderate,Youngs,grad,It seems to be very dangerous
Visa,vhigh,1,Moderate,seniors,illiterate,It seems to be very dangerous
Visa,vhigh,1,Moderate,seniors,metric,It seems to be very dangerous
Visa,vhigh,1,Moderate,seniors,grad,It seems to be very dangerous
Visa,vhigh,1,Moderate,adults,illiterate,It seems to be very dangerous
Visa,vhigh,1,Moderate,adults,metric,It seems to be very dangerous
Visa,vhigh,1,Moderate,adults,grad,It seems to be very dangerous
Visa,vhigh,1,Less,Youngs,illiterate,It seems to be very dangerous
Visa,vhigh,1,Less,Youngs,metric,It seems to be very dangerous
Visa,vhigh,1,Less,Youngs,grad,It seems to be very dangerous
Visa,vhigh,1,Less,seniors,illiterate,It seems to be very dangerous
Visa,vhigh,1,Less,seniors,metric,It seems to be very dangerous
Visa,vhigh,1,Less,seniors,grad,It seems to be very dangerous
Visa,vhigh,1,Less,adults,illiterate,It seems to be very dangerous
Visa,vhigh,1,Less,adults,metric,It seems to be very dangerous
Visa,vhigh,1,Less,adults,grad,It seems to be very dangerous
Visa,vhigh,2,High,Youngs,illiterate,It seems to be very dangerous
Visa,vhigh,2,High,Youngs,metric,It seems to be very dangerous
Visa,vhigh,2,High,Youngs,grad,It seems to be very dangerous
Visa,vhigh,2,High,seniors,illiterate,It seems to be very dangerous
Visa,vhigh,2,High,seniors,metric,It seems to be very dangerous
Visa,vhigh,2,High,seniors,grad,It seems to be very dangerous
Visa,vhigh,2,High,adults,illiterate,It seems to be very dangerous
Visa,vhigh,2,High,adults,metric,It seems to be very dangerous
Visa,vhigh,2,High,adults,grad,It seems to be very dangerous
Visa,vhigh,2,Moderate,Youngs,illiterate,It seems to be very dangerous
Visa,vhigh,2,Moderate,Youngs,metric,It seems to be very dangerous
Visa,vhigh,2,Moderate,Youngs,grad,It seems to be very dangerous
Visa,vhigh,2,Moderate,seniors,illiterate,It seems to be very dangerous
Visa,vhigh,2,Moderate,seniors,metric,It seems to be very dangerous
Visa,vhigh,2,Moderate,seniors,grad,It seems to be very dangerous
Visa,vhigh,2,Moderate,adults,illiterate,It seems to be very dangerous
Visa,vhigh,2,Moderate,adults,metric,It seems to be very dangerous
Visa,vhigh,2,Moderate,adults,grad,It seems to be very dangerous
Visa,vhigh,2,Less,Youngs,illiterate,It seems to be very dangerous
Visa,vhigh,2,Less,Youngs,metric,It seems to be very dangerous
Visa,vhigh,2,Less,Youngs,grad,It seems to be very dangerous
Visa,vhigh,2,Less,seniors,illiterate,It seems to be very dangerous
Visa,vhigh,2,Less,seniors,metric,It seems to be very dangerous
Visa,vhigh,2,Less,seniors,grad,It seems to be very dangerous
Visa,vhigh,2,Less,adults,illiterate,It seems to be very dangerous
Visa,vhigh,2,Less,adults,metric,It seems to be very dangerous
Visa,vhigh,2,Less,adults,grad,It seems to be very dangerous
Visa,vhigh,3,High,Youngs,illiterate,It seems to be very dangerous
Visa,vhigh,3,High,Youngs,metric,It seems to be very dangerous
Visa,vhigh,3,High,Youngs,grad,It seems to be very dangerous
Visa,vhigh,3,High,seniors,illiterate,It seems to be very dangerous
Visa,vhigh,3,High,seniors,metric,It seems to be very dangerous
Visa,vhigh,3,High,seniors,grad,It seems to be very dangerous
Visa,vhigh,3,High,adults,illiterate,It seems to be very dangerous
Visa,vhigh,3,High,adults,metric,It seems to be very dangerous
Visa,vhigh,3,High,adults,grad,It seems to be very dangerous
Visa,vhigh,3,Moderate,Youngs,illiterate,It seems to be very dangerous
Visa,vhigh,3,Moderate,Youngs,metric,It seems to be very dangerous
Visa,vhigh,3,Moderate,Youngs,grad,It seems to be very dangerous
Visa,vhigh,3,Moderate,seniors,illiterate,It seems to be very dangerous
Visa,vhigh,3,Moderate,seniors,metric,It seems to be very dangerous
Visa,vhigh,3,Moderate,seniors,grad,It seems to be very dangerous
Visa,vhigh,3,Moderate,adults,illiterate,It seems to be very dangerous
Visa,vhigh,3,Moderate,adults,metric,It seems to be very dangerous
Visa,vhigh,3,Moderate,adults,grad,It seems to be very dangerous
Visa,vhigh,3,Less,Youngs,illiterate,It seems to be very dangerous
Visa,vhigh,3,Less,Youngs,metric,It seems to be very dangerous
Visa,vhigh,3,Less,Youngs,grad,It seems to be very dangerous
Visa,vhigh,3,Less,seniors,illiterate,It seems to be very dangerous
Visa,vhigh,3,Less,seniors,metric,It seems to be very dangerous
Visa,vhigh,3,Less,seniors,grad,It seems to be very dangerous
Visa,vhigh,3,Less,adults,illiterate,It seems to be very dangerous
Visa,vhigh,3,Less,adults,metric,It seems to be very dangerous
Visa,vhigh,3,Less,adults,grad,It seems to be very dangerous
